"FROST, CARMILLA","AA2 35"
"KILLRAVEN/JONATHAN R","AA2 35"
"M'SHULLA","AA2 35"
"HUMAN ROBOT","WI? 9"
"MARVEL BOY III/ROBER","WI? 9"
"GORILLA-MAN","WI? 9"
"WASP/JANET VAN DYNE ","AVF 4"
"CAPTAIN AMERICA","AVF 4"
"VENUS II","AVF 4"
"JONES, RICHARD MILHO","AVF 5"
"HAWK","AVF 5"
"3-D MAN/CHARLES CHAN","H2 251"
"BANNER, BETTY ROSS T","H2 251"
"SLOAN, FRED","H2 251"
"ROSS, GEN. THADDEUS ","H2 252"
"HULK/DR. ROBERT BRUC","H2 252"
"WOODGOD","H2 252"
"DARKSTAR/LAYNIA SERG","COC 1"
"LOBO","COC 1"
"INVISIBLE WOMAN/SUE ","COC 1"
"WOLVERINE/LOGAN ","COC 1"
"DAZZLER II/ALLISON B","COC 1"
"VOLSTAGG","T 208"
"BALDER [ASGARDIAN]","T 208"
"THOR/DR. DONALD BLAK","T 208"